time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
12.74,-3.9087462386468426,-32.04473593223104,1077.3861789530038,-0.2724357118705446,-1.7242211780945884,-49.44517072096163,0.021400880670489546,0.28441464885537154,-7.7380640278667805,-0.005717167925578892,0.026339946164344697,3.966961032010635,-0.04173232303326466,-0.643036141637722,-0.7628305420838866,0.05378195598934346
12.75,-3.91146986404636,-32.061963974137456,1076.8913405186313,-0.27228680986618287,-1.7213873796763166,-49.52251748016443,0.026601972368185775,0.2857925518805044,-7.731860674048593,-0.004761241647729479,0.02648241976340427,3.9730269293387623,-0.042707670446436904,-0.6580559699238648,-0.7499241198209129,0.05283811565968067
12.76,-3.914191561906865,-32.07916357676656,1076.3957289253003,-0.2720752768708028,-1.7185380408580608,-49.59980248354977,0.015755460253444282,0.28397070862179424,-7.725126810749892,-0.0034738452299728946,0.026551598258251468,3.9790880379735825,-0.043663491862537825,-0.6728390910536309,-0.7367015649528857,0.05187626460115348
12.77,-3.9169114874804727,-32.096334732869835,1075.8993447664125,-0.27191082202606875,-1.7156934997168378,-49.677022305332486,0.015541230189367986,0.2844188921125356,-7.718757561728679,-0.0024329714357749924,0.026595831977344244,3.9851443534105186,-0.04459967279673054,-0.6873789548515467,-0.7231664921251999,0.05089640479094993
12.780000000000001,-3.9196297693555437,-32.1134774185772,1075.4021887228537,-0.2717472884928137,-1.7128441063727304,-49.75417846788947,0.015915964313256235,0.28458028141720204,-7.71234796998303,-0.0013983788398490027,0.026589605057898858,3.9911958703589145,-0.04551604992699314,-0.7016680780704709,-0.7093232090487543,0.049898682835739214
12.790000000000001,-3.922346427673048,-32.13059161145832,1074.904261453517,-0.27158345061656153,-1.7099930390754092,-49.83127049967151,0.016706433267656164,0.28528847044070277,-7.70601031620055,-0.0003653940171017947,0.026551073249229947,3.9972425837161167,-0.04641225881218924,-0.7156992994015683,-0.6951760647254809,0.04888342329083611
12.8,-3.925061496996533,-32.14767731429141,1074.4055635630093,-0.2714223120689419,-1.7071423093835538,-49.908298066790366,0.018893180308236664,0.28710561057379147,-7.699826076024618,0.0006478721038200672,0.02648727298204199,4.003284489223347,-0.04728796335885181,-0.7294661461656582,-0.6807291894211096,0.04785086095288008
12.81,-3.9277748062519175,-32.16473440563626,1073.9060956916944,-0.2712427583076594,-1.704276843922264,-49.98526328617786,0.01642480945146968,0.2859336943829027,-7.693206742311276,0.0017465065536846928,0.02631609893213879,4.009321579835233,-0.048142686619743136,-0.7429616356291655,-0.6659871783099441,0.046801880321394866
12.82,-3.930486386178732,-32.181762865720366,1073.4058585005196,-0.27107038150084206,-1.7014132562281101,-50.06216371873174,0.015556911794936935,0.2858093486215027,-7.686734180246233,0.0027986624669667005,0.026128512944005977,4.0153538511914135,-0.048976097733881695,-0.7561787890913868,-0.6509548667069383,0.0457368065405869
12.83,-3.9331960932017567,-32.19876263697601,1072.904852622443,-0.2708737938942128,-1.6985411790824783,-50.13900089199042,0.008007894159806414,0.2839160750912555,-7.6799830028647165,0.003955607127088746,0.025844275234548762,4.021381295160609,-0.04978770266765877,-0.7691109629655581,-0.6356370960652455,0.04465638168417737
12.84,-3.935903755429836,-32.21573361084817,1072.4030786858646,-0.2706578381729171,-1.69565420683638,-50.215775612923245,-0.006811905578105004,0.2807156867296225,-7.673013754813898,0.0052018788705531175,0.0254698085614522,4.02740390966393,-0.050576948986287465,-0.7817515560701767,-0.620038848334576,0.043561443870808896
12.85,-3.938609567645414,-32.232675733597624,1071.9005373294756,-0.2704915284932958,-1.6927671179050094,-50.29248548092127,-0.011462243727832434,0.28083644847709743,-7.666542481942228,0.006213142173323999,0.025178887764440168,4.0334216949140975,-0.051343675571636084,-0.7940940177005118,-0.6041653320083759,0.04245196449718383
12.86,-3.9413140735363905,-32.249589096223495,1071.3972292144815,-0.27040237415963964,-1.6899005490212762,-50.36912749959529,0.00524434842169072,0.2853469405191042,-7.660770201656552,0.0068387010713349,0.025045392769195606,4.039434642112871,-0.05208818499100123,-0.8061318442643965,-0.5880219767076224,0.04132706400045832
12.870000000000001,-3.9440178929935494,-32.26647413766897,1070.893155050632,-0.27036216652384415,-1.6870965806982414,-50.44569605162316,0.04374398605342847,0.29159973458381483,-7.655341201255957,0.007150668865457445,0.02500715724124171,4.045442750413423,-0.05281114288458116,-0.8178586040630921,-0.5716144139150823,0.040185594425095054
